Link,Name,Personal Links,Expertise,History 1 Title,History 1 Location,History 1 Start,History 1 End,History 2 Title,History 2 Location,History 2 Start,History 2 End,History 3 Title,History 3 Location,History 3 Start,History 3 End,History 4 Title,History 4 Location,History 4 Start,History 4 End,History 5 Title,History 5 Location,History 5 Start,History 5 End,History 6 Title,History 6 Location,History 6 Start,History 6 End,History 7 Title,History 7 Location,History 7 Start,History 7 End,History 8 Title,History 8 Location,History 8 Start,History 8 End,History 9 Title,History 9 Location,History 9 Start,History 9 End
https://openreview.net/profile?id=~Mikhail_Burtsev1,Mikhail Burtsev,Google Scholar (https://scholar.google.com/citations?user=t_PLQakAAAAJ&hl=en); DBLP (https://dblp.org/pid/85/5425); Semantic Scholar (https://www.semanticscholar.org/author/M.-Burtsev/3359236); ORCID (https://orcid.org/0000-0003-1614-1695); ACL Anthology (https://aclanthology.org/people/m/mikhail-burtsev/),deep learning; conversational AI; natural language processing; memory augmented networks,Researcher,London Institute for Mathematical Sciences (lims.ac.uk) [GB],2023,Present,Scientific Director,Artificial Intelligence Research Institute (airi.net) [RU],2021,2022,Head of the lab,Moscow Institute of Physics and Technology (mipt.ru) [RU],2015,2022,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Min_Yang6,Min Yang,Homepage (https://minyang.me/); Google Scholar (https://scholar.google.com/citations?user=_wop6KgAAAAJ&hl=en); DBLP (https://dblp.org/pid/02/1640-7); ORCID (https://orcid.org/0000-0003-3814-2728); ACL Anthology (https://aclanthology.org/people/m/min-yang/),Large language models; Question answering; Dialogue Systems; Sentiment analysis; Knowledge base; Dialogue System; Sentiment Analysis,Full Professor,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences (siat.ac.cn) [CN]",2025,Present,Associate Professor,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences (siat.ac.cn) [CN]",2020,2025,Assistant Professor,"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences (siat.ac.cn) [CN]",2017,2019,PhD student,"The University of Hong Kong, The University of Hong Kong (cs.hku.hk) [CN]",2012,2017,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Mushfiq_Zahid1,Mushfiq Zahid,LinkedIn (https://www.linkedin.com/in/mushfiq-zahid/),,Undergrad student,BRAC University (bracu.ac.bd) [BD],2021,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Nazar_Buzun1,Nazar Buzun,Google Scholar (https://scholar.google.com/citations?user=dxR12zkAAAAJ&hl=en); DBLP (https://dblp.org/pid/154/7701),Reinforcement learning; Optimal Transport,Researcher,Innopolis University (innopolis.university) [RU],2025,Present,Researcher,Skolkovo Institute of Science and Technology (I am no longer affiliated with this company) (skoltech.ru) [RU],2018,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Negar_Foroutan1,Negar Foroutan,Homepage (http://negar.foroutan.info/); Google Scholar (https://scholar.google.com/citations?user=jHeHoScAAAAJ&hl=en); DBLP (https://dblp.org/pid/174/4070); Semantic Scholar (https://www.semanticscholar.org/author/Negar-Foroutan-Eghlidi/3284604); ACL Anthology (https://aclanthology.org/people/n/negar-foroutan/),Multilingual Language Models; Natural Language Processing; LLMs,Researcher,Google (google.com) [CH],2025,Present,PhD student,"School of Computer and Communication Sciences, EPFL - EPF Lausanne (ic.epfl.ch) [CH]",2019,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Nikita_Serov1,Nikita Serov,Google Scholar (https://scholar.google.com/citations?user=bFOt1bsAAAAJ&hl=en); DBLP (https://dblp.org/pid/379/6157),generative models; representation learning; materials science; molecular biology; organic chemistry,Principal Researcher,ITMO University (itmo.ru) [RU],2023,Present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Paul_Teiletche1,Paul Teiletche,Google Scholar (https://scholar.google.com/citations?user=G33Z1BcAAAAJ&hl=fr),deep learning; artificial intelligence; machine learning; natural language processing,MS student,EPFL - EPF Lausanne (epfl.ch) [CH],2023,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Pavel_Chizhov1,Pavel Chizhov,Homepage (https://github.com/pchizhov); Google Scholar (https://scholar.google.com/citations?user=HEd9d_wAAAAJ&hl=en); DBLP (https://dblp.org/pid/347/1330); Semantic Scholar (https://www.semanticscholar.org/author/Pavel-Chizhov/2320308996); LinkedIn (https://www.linkedin.com/in/pchizhov); ACL Anthology (https://aclanthology.org/people/pavel-chizhov/),natural language processing; self-supervised learning; image denoising; computer vision,PhD student,Technical University of Applied Sciences Würzburg-Schweinfurt (thws.de) [DE],2024,Present,Researcher,PleIAs (pleias.fr) [FR],2024,Present,Lecturer,"institute of computer science, University of Tartu (cs.ut.ee) [EE]",2023,2024,MS student,"institute of computer science, University of Tartu (cs.ut.ee) [EE]",2021,2023,Intern,Yandex (yandex-team.ru) [RU],2021,2021,Intern,Engie (engie.com) [FR],2020,2021,,,,,,,,,,,,
https://openreview.net/profile?id=~Petr_Anokhin1,Petr Anokhin,Google Scholar (https://scholar.google.com/citations?user=7HLJ82QAAAAJ&hl=ru); DBLP (https://dblp.org/pid/369/3360),AI and Machine Learning; Neurophysiology,Principal Researcher,Lomonosov Moscow State University (msu.ru) [RU],2025,Present,Principal Researcher,AXXX (axxx.tech) [RU],2025,Present,Principal Researcher,Artificial Intelligence Research Institute (airi.net) [RU],2021,2025,MS student,Lomonosov Moscow State University (msu.ru),2008,2013,,,,,,,,,,,,,,,,,,,,
https://openreview.net/profile?id=~Pierre-Carl_Langlais1,Pierre-Carl Langlais,Google Scholar (https://scholar.google.fr/citations?user=7LA_tBQAAAAJ&hl=fr); LinkedIn (https://www.linkedin.com/in/pierre-carl-langlais-b0105b10/); Wikipedia (https://www.wikidata.org/wiki/Q27538435),LLM; Digital humanities; Open science,Researcher,Pleias (pleias.fr) [FR],2024,Present,Lecturer,Institut d'Etudes Politiques de Paris (Sciences Po) (sciencespo.fr) [FR],2018,Present,Postdoc,Université Paul Valéry (Montpellier III) (univ-montp3.fr),2018,2021,,,,,,,,,,,,,,,,,,,,,,,,
